unique_id,Unnamed: 0,AutoARIMA,AutoTheta,AutoETS,CES,MSTL,SeasonalNaive,WindowAverage,SeasWA,Naive,prophet,best_model
220_CPU,710111917806.4481,26020000716.257694,28440706372.58983,25995521206.160465,25254943077.681057,28860442278.445564,26638367872.82252,137422738992.60268,26638367872.82252,140349843114.83774,57752009244.77158,CES
221_CPU,523264590.20221525,28182077.234652504,32096409.34553637,30123506.639275804,97147946.82685938,32571752.216862142,34146260.172207974,62876724.446778014,34146260.172207974,64694212.815266766,58189026.93615086,AutoARIMA
222_CPU,574032246000.6404,20226159109.21793,20004071319.73418,20122268726.987644,115675167028.88737,20174314292.453766,21705942220.20967,20693613984.72003,21705942220.20967,19977796024.19571,29327820038.130795,Naive
223_CPU,1101531956.45709,57482298.06653465,53470776.84486563,53818095.19396243,262496290.3827883,54665921.76368602,65144966.728558265,86318421.34815075,65144966.728558265,90496705.17660025,94454016.99822387,AutoTheta
224_CPU,368952357.80384535,20495068.94013928,28856416.092189047,22535957.622854717,65330526.39176951,25595586.878092747,25155916.62765586,41305886.83087194,25155916.62765586,61667685.651700385,40132740.6709632,AutoARIMA
225_CPU,702395518.2288392,194526964.10687765,35155681.554530844,35094475.488275886,119502738.97809398,38485297.8681543,38401686.75801758,35002633.100401126,38401686.75801758,47673164.86698486,43617369.426975556,WindowAverage
226_CPU,3802495975627.612,509507493088.3178,130258302622.14555,130365728286.72697,795579405035.5676,131848098467.56926,131857053062.59184,129354176588.2878,131857053062.59184,130475651566.32936,191950028991.65765,WindowAverage
227_CPU,3949875818.8413267,633846224.1486988,628029564.9988741,628702017.7872461,1315806519.3432536,661350003.7794666,842709281.2079197,631253576.0865015,842709281.2079197,729272054.4273628,723753272.8995601,AutoTheta
228_CPU,26580117693.865833,1163807928.908861,1151288015.9613242,1161969576.4672384,8193350498.884436,1126216813.9096923,1274846979.7853103,1175850645.6898546,1274846979.7853103,1163237455.7644465,1780762292.6800973,MSTL
229_CPU,25121922712.80732,1467901615.2825227,1193328191.765262,1094169178.102464,4232708922.0926056,1215850550.1582727,1174587799.2520075,1374886522.5877345,1174587799.2520075,1585008672.1543856,1726853666.187945,AutoETS
